id,l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20,l21,l22,l23,l24,l25,l26,l27,l28,l29,l30,l31,l32,l33,l34,l35,l36,l37,l38,l39,l40,l41,l42,l43,l44,l45,l46,l47,l48,l49,l50,l51,l52,l53,l54,l55,l56,l57,l58,l59,l60,l61,l62,l63,l64,l65,l66,l67,l68,l69,l70,l71,l72,l73,l74,l75,l76,l77,l78,l79,l80,l81,l82,l83,l84,l85,l86,l87,l88,l89,l90,l91,l92,l93,l94,l95,l96,l97,l98,l99
16,0.079432,-0.14054,-0.10462,-0.36259,-0.22721,-0.13612,0.74755,0.32809,0.54364,0.12091,-0.53579,-0.093852,-0.1253,0.0075018,0.54402,-0.51891,0.34596,1.3306,1.0153,0.31239,0.16274,-0.026524,0.73949,0.5574,1.1129,-0.44905,1.0968,0.73696,-0.44728,0.032219,1.1976,0.059368,-0.37853,-0.21233,0.1351,-0.34381,0.48377,0.017526,-0.46031,-0.77044,-0.85068,0.30327,0.11417,-0.25013,0.014417,-0.05347,-0.30477,0.40744,-1.4463,0.85099,0.66363,0.0049562,0.57099,0.27496,0.0087559,-0.84859,0.74672,0.51043,0.18724,-0.012529,-0.42562,-0.84412,-0.50242,0.016912,0.41224,0.25004,0.12519,0.56298,-1.0472,-1.0784,-0.88615,0.11577,0.85152,0.16019,0.83352,-0.38092,0.044191,0.22782,-0.38651,-0.019875,-0.89481,-0.35736,-0.48555,0.036485,-0.43308,0.16881,1.0746,0.095382,0.54107,-0.38136,-1.2123,0.51573,0.16573,0.67943,0.35327,0.17672,0.25803,0.068445,-1.2016,-0.20168
17,0.079432,-0.14054,-0.10462,-0.36259,-0.22721,-0.13612,0.74755,0.32809,0.54364,0.12091,-0.53579,-0.093852,-0.1253,0.0075018,0.54402,-0.51891,0.34596,1.3306,1.0153,0.31239,0.16274,-0.026524,0.73949,0.5574,1.1129,-0.44905,1.0968,0.73696,-0.44728,0.032219,1.1976,0.059368,-0.37853,-0.21233,0.1351,-0.34381,0.48377,0.017526,-0.46031,-0.77044,-0.85068,0.30327,0.11417,-0.25013,0.014417,-0.05347,-0.30477,0.40744,-1.4463,0.85099,0.66363,0.0049562,0.57099,0.27496,0.0087559,-0.84859,0.74672,0.51043,0.18724,-0.012529,-0.42562,-0.84412,-0.50242,0.016912,0.41224,0.25004,0.12519,0.56298,-1.0472,-1.0784,-0.88615,0.11577,0.85152,0.16019,0.83352,-0.38092,0.044191,0.22782,-0.38651,-0.019875,-0.89481,-0.35736,-0.48555,0.036485,-0.43308,0.16881,1.0746,0.095382,0.54107,-0.38136,-1.2123,0.51573,0.16573,0.67943,0.35327,0.17672,0.25803,0.068445,-1.2016,-0.20168
18,0.079432,-0.14054,-0.10462,-0.36259,-0.22721,-0.13612,0.74755,0.32809,0.54364,0.12091,-0.53579,-0.093852,-0.1253,0.0075018,0.54402,-0.51891,0.34596,1.3306,1.0153,0.31239,0.16274,-0.026524,0.73949,0.5574,1.1129,-0.44905,1.0968,0.73696,-0.44728,0.032219,1.1976,0.059368,-0.37853,-0.21233,0.1351,-0.34381,0.48377,0.017526,-0.46031,-0.77044,-0.85068,0.30327,0.11417,-0.25013,0.014417,-0.05347,-0.30477,0.40744,-1.4463,0.85099,0.66363,0.0049562,0.57099,0.27496,0.0087559,-0.84859,0.74672,0.51043,0.18724,-0.012529,-0.42562,-0.84412,-0.50242,0.016912,0.41224,0.25004,0.12519,0.56298,-1.0472,-1.0784,-0.88615,0.11577,0.85152,0.16019,0.83352,-0.38092,0.044191,0.22782,-0.38651,-0.019875,-0.89481,-0.35736,-0.48555,0.036485,-0.43308,0.16881,1.0746,0.095382,0.54107,-0.38136,-1.2123,0.51573,0.16573,0.67943,0.35327,0.17672,0.25803,0.068445,-1.2016,-0.20168
19,0.079432,-0.14054,-0.10462,-0.36259,-0.22721,-0.13612,0.74755,0.32809,0.54364,0.12091,-0.53579,-0.093852,-0.1253,0.0075018,0.54402,-0.51891,0.34596,1.3306,1.0153,0.31239,0.16274,-0.026524,0.73949,0.5574,1.1129,-0.44905,1.0968,0.73696,-0.44728,0.032219,1.1976,0.059368,-0.37853,-0.21233,0.1351,-0.34381,0.48377,0.017526,-0.46031,-0.77044,-0.85068,0.30327,0.11417,-0.25013,0.014417,-0.05347,-0.30477,0.40744,-1.4463,0.85099,0.66363,0.0049562,0.57099,0.27496,0.0087559,-0.84859,0.74672,0.51043,0.18724,-0.012529,-0.42562,-0.84412,-0.50242,0.016912,0.41224,0.25004,0.12519,0.56298,-1.0472,-1.0784,-0.88615,0.11577,0.85152,0.16019,0.83352,-0.38092,0.044191,0.22782,-0.38651,-0.019875,-0.89481,-0.35736,-0.48555,0.036485,-0.43308,0.16881,1.0746,0.095382,0.54107,-0.38136,-1.2123,0.51573,0.16573,0.67943,0.35327,0.17672,0.25803,0.068445,-1.2016,-0.20168
20,0.079432,-0.14054,-0.10462,-0.36259,-0.22721,-0.13612,0.74755,0.32809,0.54364,0.12091,-0.53579,-0.093852,-0.1253,0.0075018,0.54402,-0.51891,0.34596,1.3306,1.0153,0.31239,0.16274,-0.026524,0.73949,0.5574,1.1129,-0.44905,1.0968,0.73696,-0.44728,0.032219,1.1976,0.059368,-0.37853,-0.21233,0.1351,-0.34381,0.48377,0.017526,-0.46031,-0.77044,-0.85068,0.30327,0.11417,-0.25013,0.014417,-0.05347,-0.30477,0.40744,-1.4463,0.85099,0.66363,0.0049562,0.57099,0.27496,0.0087559,-0.84859,0.74672,0.51043,0.18724,-0.012529,-0.42562,-0.84412,-0.50242,0.016912,0.41224,0.25004,0.12519,0.56298,-1.0472,-1.0784,-0.88615,0.11577,0.85152,0.16019,0.83352,-0.38092,0.044191,0.22782,-0.38651,-0.019875,-0.89481,-0.35736,-0.48555,0.036485,-0.43308,0.16881,1.0746,0.095382,0.54107,-0.38136,-1.2123,0.51573,0.16573,0.67943,0.35327,0.17672,0.25803,0.068445,-1.2016,-0.20168
23,0.079432,-0.14054,-0.10462,-0.36259,-0.22721,-0.13612,0.74755,0.32809,0.54364,0.12091,-0.53579,-0.093852,-0.1253,0.0075018,0.54402,-0.51891,0.34596,1.3306,1.0153,0.31239,0.16274,-0.026524,0.73949,0.5574,1.1129,-0.44905,1.0968,0.73696,-0.44728,0.032219,1.1976,0.059368,-0.37853,-0.21233,0.1351,-0.34381,0.48377,0.017526,-0.46031,-0.77044,-0.85068,0.30327,0.11417,-0.25013,0.014417,-0.05347,-0.30477,0.40744,-1.4463,0.85099,0.66363,0.0049562,0.57099,0.27496,0.0087559,-0.84859,0.74672,0.51043,0.18724,-0.012529,-0.42562,-0.84412,-0.50242,0.016912,0.41224,0.25004,0.12519,0.56298,-1.0472,-1.0784,-0.88615,0.11577,0.85152,0.16019,0.83352,-0.38092,0.044191,0.22782,-0.38651,-0.019875,-0.89481,-0.35736,-0.48555,0.036485,-0.43308,0.16881,1.0746,0.095382,0.54107,-0.38136,-1.2123,0.51573,0.16573,0.67943,0.35327,0.17672,0.25803,0.068445,-1.2016,-0.20168
24,0.079432,-0.14054,-0.10462,-0.36259,-0.22721,-0.13612,0.74755,0.32809,0.54364,0.12091,-0.53579,-0.093852,-0.1253,0.0075018,0.54402,-0.51891,0.34596,1.3306,1.0153,0.31239,0.16274,-0.026524,0.73949,0.5574,1.1129,-0.44905,1.0968,0.73696,-0.44728,0.032219,1.1976,0.059368,-0.37853,-0.21233,0.1351,-0.34381,0.48377,0.017526,-0.46031,-0.77044,-0.85068,0.30327,0.11417,-0.25013,0.014417,-0.05347,-0.30477,0.40744,-1.4463,0.85099,0.66363,0.0049562,0.57099,0.27496,0.0087559,-0.84859,0.74672,0.51043,0.18724,-0.012529,-0.42562,-0.84412,-0.50242,0.016912,0.41224,0.25004,0.12519,0.56298,-1.0472,-1.0784,-0.88615,0.11577,0.85152,0.16019,0.83352,-0.38092,0.044191,0.22782,-0.38651,-0.019875,-0.89481,-0.35736,-0.48555,0.036485,-0.43308,0.16881,1.0746,0.095382,0.54107,-0.38136,-1.2123,0.51573,0.16573,0.67943,0.35327,0.17672,0.25803,0.068445,-1.2016,-0.20168
25,0.079432,-0.14054,-0.10462,-0.36259,-0.22721,-0.13612,0.74755,0.32809,0.54364,0.12091,-0.53579,-0.093852,-0.1253,0.0075018,0.54402,-0.51891,0.34596,1.3306,1.0153,0.31239,0.16274,-0.026524,0.73949,0.5574,1.1129,-0.44905,1.0968,0.73696,-0.44728,0.032219,1.1976,0.059368,-0.37853,-0.21233,0.1351,-0.34381,0.48377,0.017526,-0.46031,-0.77044,-0.85068,0.30327,0.11417,-0.25013,0.014417,-0.05347,-0.30477,0.40744,-1.4463,0.85099,0.66363,0.0049562,0.57099,0.27496,0.0087559,-0.84859,0.74672,0.51043,0.18724,-0.012529,-0.42562,-0.84412,-0.50242,0.016912,0.41224,0.25004,0.12519,0.56298,-1.0472,-1.0784,-0.88615,0.11577,0.85152,0.16019,0.83352,-0.38092,0.044191,0.22782,-0.38651,-0.019875,-0.89481,-0.35736,-0.48555,0.036485,-0.43308,0.16881,1.0746,0.095382,0.54107,-0.38136,-1.2123,0.51573,0.16573,0.67943,0.35327,0.17672,0.25803,0.068445,-1.2016,-0.20168
26,0.079432,-0.14054,-0.10462,-0.36259,-0.22721,-0.13612,0.74755,0.32809,0.54364,0.12091,-0.53579,-0.093852,-0.1253,0.0075018,0.54402,-0.51891,0.34596,1.3306,1.0153,0.31239,0.16274,-0.026524,0.73949,0.5574,1.1129,-0.44905,1.0968,0.73696,-0.44728,0.032219,1.1976,0.059368,-0.37853,-0.21233,0.1351,-0.34381,0.48377,0.017526,-0.46031,-0.77044,-0.85068,0.30327,0.11417,-0.25013,0.014417,-0.05347,-0.30477,0.40744,-1.4463,0.85099,0.66363,0.0049562,0.57099,0.27496,0.0087559,-0.84859,0.74672,0.51043,0.18724,-0.012529,-0.42562,-0.84412,-0.50242,0.016912,0.41224,0.25004,0.12519,0.56298,-1.0472,-1.0784,-0.88615,0.11577,0.85152,0.16019,0.83352,-0.38092,0.044191,0.22782,-0.38651,-0.019875,-0.89481,-0.35736,-0.48555,0.036485,-0.43308,0.16881,1.0746,0.095382,0.54107,-0.38136,-1.2123,0.51573,0.16573,0.67943,0.35327,0.17672,0.25803,0.068445,-1.2016,-0.20168
28,0.079432,-0.14054,-0.10462,-0.36259,-0.22721,-0.13612,0.74755,0.32809,0.54364,0.12091,-0.53579,-0.093852,-0.1253,0.0075018,0.54402,-0.51891,0.34596,1.3306,1.0153,0.31239,0.16274,-0.026524,0.73949,0.5574,1.1129,-0.44905,1.0968,0.73696,-0.44728,0.032219,1.1976,0.059368,-0.37853,-0.21233,0.1351,-0.34381,0.48377,0.017526,-0.46031,-0.77044,-0.85068,0.30327,0.11417,-0.25013,0.014417,-0.05347,-0.30477,0.40744,-1.4463,0.85099,0.66363,0.0049562,0.57099,0.27496,0.0087559,-0.84859,0.74672,0.51043,0.18724,-0.012529,-0.42562,-0.84412,-0.50242,0.016912,0.41224,0.25004,0.12519,0.56298,-1.0472,-1.0784,-0.88615,0.11577,0.85152,0.16019,0.83352,-0.38092,0.044191,0.22782,-0.38651,-0.019875,-0.89481,-0.35736,-0.48555,0.036485,-0.43308,0.16881,1.0746,0.095382,0.54107,-0.38136,-1.2123,0.51573,0.16573,0.67943,0.35327,0.17672,0.25803,0.068445,-1.2016,-0.20168
31,0.079432,-0.14054,-0.10462,-0.36259,-0.22721,-0.13612,0.74755,0.32809,0.54364,0.12091,-0.53579,-0.093852,-0.1253,0.0075018,0.54402,-0.51891,0.34596,1.3306,1.0153,0.31239,0.16274,-0.026524,0.73949,0.5574,1.1129,-0.44905,1.0968,0.73696,-0.44728,0.032219,1.1976,0.059368,-0.37853,-0.21233,0.1351,-0.34381,0.48377,0.017526,-0.46031,-0.77044,-0.85068,0.30327,0.11417,-0.25013,0.014417,-0.05347,-0.30477,0.40744,-1.4463,0.85099,0.66363,0.0049562,0.57099,0.27496,0.0087559,-0.84859,0.74672,0.51043,0.18724,-0.012529,-0.42562,-0.84412,-0.50242,0.016912,0.41224,0.25004,0.12519,0.56298,-1.0472,-1.0784,-0.88615,0.11577,0.85152,0.16019,0.83352,-0.38092,0.044191,0.22782,-0.38651,-0.019875,-0.89481,-0.35736,-0.48555,0.036485,-0.43308,0.16881,1.0746,0.095382,0.54107,-0.38136,-1.2123,0.51573,0.16573,0.67943,0.35327,0.17672,0.25803,0.068445,-1.2016,-0.20168
32,0.079432,-0.14054,-0.10462,-0.36259,-0.22721,-0.13612,0.74755,0.32809,0.54364,0.12091,-0.53579,-0.093852,-0.1253,0.0075018,0.54402,-0.51891,0.34596,1.3306,1.0153,0.31239,0.16274,-0.026524,0.73949,0.5574,1.1129,-0.44905,1.0968,0.73696,-0.44728,0.032219,1.1976,0.059368,-0.37853,-0.21233,0.1351,-0.34381,0.48377,0.017526,-0.46031,-0.77044,-0.85068,0.30327,0.11417,-0.25013,0.014417,-0.05347,-0.30477,0.40744,-1.4463,0.85099,0.66363,0.0049562,0.57099,0.27496,0.0087559,-0.84859,0.74672,0.51043,0.18724,-0.012529,-0.42562,-0.84412,-0.50242,0.016912,0.41224,0.25004,0.12519,0.56298,-1.0472,-1.0784,-0.88615,0.11577,0.85152,0.16019,0.83352,-0.38092,0.044191,0.22782,-0.38651,-0.019875,-0.89481,-0.35736,-0.48555,0.036485,-0.43308,0.16881,1.0746,0.095382,0.54107,-0.38136,-1.2123,0.51573,0.16573,0.67943,0.35327,0.17672,0.25803,0.068445,-1.2016,-0.20168
33,0.079432,-0.14054,-0.10462,-0.36259,-0.22721,-0.13612,0.74755,0.32809,0.54364,0.12091,-0.53579,-0.093852,-0.1253,0.0075018,0.54402,-0.51891,0.34596,1.3306,1.0153,0.31239,0.16274,-0.026524,0.73949,0.5574,1.1129,-0.44905,1.0968,0.73696,-0.44728,0.032219,1.1976,0.059368,-0.37853,-0.21233,0.1351,-0.34381,0.48377,0.017526,-0.46031,-0.77044,-0.85068,0.30327,0.11417,-0.25013,0.014417,-0.05347,-0.30477,0.40744,-1.4463,0.85099,0.66363,0.0049562,0.57099,0.27496,0.0087559,-0.84859,0.74672,0.51043,0.18724,-0.012529,-0.42562,-0.84412,-0.50242,0.016912,0.41224,0.25004,0.12519,0.56298,-1.0472,-1.0784,-0.88615,0.11577,0.85152,0.16019,0.83352,-0.38092,0.044191,0.22782,-0.38651,-0.019875,-0.89481,-0.35736,-0.48555,0.036485,-0.43308,0.16881,1.0746,0.095382,0.54107,-0.38136,-1.2123,0.51573,0.16573,0.67943,0.35327,0.17672,0.25803,0.068445,-1.2016,-0.20168
34,0.079432,-0.14054,-0.10462,-0.36259,-0.22721,-0.13612,0.74755,0.32809,0.54364,0.12091,-0.53579,-0.093852,-0.1253,0.0075018,0.54402,-0.51891,0.34596,1.3306,1.0153,0.31239,0.16274,-0.026524,0.73949,0.5574,1.1129,-0.44905,1.0968,0.73696,-0.44728,0.032219,1.1976,0.059368,-0.37853,-0.21233,0.1351,-0.34381,0.48377,0.017526,-0.46031,-0.77044,-0.85068,0.30327,0.11417,-0.25013,0.014417,-0.05347,-0.30477,0.40744,-1.4463,0.85099,0.66363,0.0049562,0.57099,0.27496,0.0087559,-0.84859,0.74672,0.51043,0.18724,-0.012529,-0.42562,-0.84412,-0.50242,0.016912,0.41224,0.25004,0.12519,0.56298,-1.0472,-1.0784,-0.88615,0.11577,0.85152,0.16019,0.83352,-0.38092,0.044191,0.22782,-0.38651,-0.019875,-0.89481,-0.35736,-0.48555,0.036485,-0.43308,0.16881,1.0746,0.095382,0.54107,-0.38136,-1.2123,0.51573,0.16573,0.67943,0.35327,0.17672,0.25803,0.068445,-1.2016,-0.20168
