FIPS,State,County,Inland
26001,Michigan,Alcona,
26003,Michigan,Alger,
26005,Michigan,Allegan,
26007,Michigan,Alpena,
26009,Michigan,Antrim,
26011,Michigan,Arenac,
26013,Michigan,Baraga,
26017,Michigan,Bay,
26019,Michigan,Benzie,
26021,Michigan,Berrien,
26029,Michigan,Charlevoix,
26031,Michigan,Cheboygan,
26033,Michigan,Chippewa,
26041,Michigan,Delta,
26047,Michigan,Emmet,
26053,Michigan,Gogebic,
26055,Michigan,Grand Traverse,
26061,Michigan,Houghton,
26063,Michigan,Huron,
26069,Michigan,Iosco,
26083,Michigan,Keweenaw,
26089,Michigan,Leelanau,
26095,Michigan,Luce,
26097,Michigan,Mackinac,
26099,Michigan,Macomb,
26101,Michigan,Manistee,
26103,Michigan,Marquette,
26105,Michigan,Mason,
26109,Michigan,Menominee,
26115,Michigan,Monroe,
26121,Michigan,Muskegon,
26127,Michigan,Oceana,
26131,Michigan,Ontonagon,
26139,Michigan,Ottawa,
26141,Michigan,Presque Isle,
26145,Michigan,Saginaw,*
26147,Michigan,St. Clair,
26151,Michigan,Sanilac,
26153,Michigan,Schoolcraft,
26157,Michigan,Tuscola,
26159,Michigan,Van Buren,
26163,Michigan,Wayne,
27031,Minnesota,Cook,
27075,Minnesota,Lake,
27137,Minnesota,St. Louis,
28045,Mississippi,Hancock,
28047,Mississippi,Harrison,
28059,Mississippi,Jackson,
33015,New Hampshire,Rockingham,
33017,New Hampshire,Strafford,*
34001,New Jersey,Atlantic,
34003,New Jersey,Bergen,
34005,New Jersey,Burlington,*
34007,New Jersey,Camden,
34009,New Jersey,Cape May,
34011,New Jersey,Cumberland,
34013,New Jersey,Essex,
34015,New Jersey,Gloucester,
34017,New Jersey,Hudson,
34023,New Jersey,Middlesex,
34025,New Jersey,Monmouth,
34029,New Jersey,Ocean,
34033,New Jersey,Salem,
34035,New Jersey,Somerset,*
34039,New Jersey,Union,
36001,New York,Albany,*
36005,New York,Bronx,
36011,New York,Cayuga,
36013,New York,Chautauqua,
36027,New York,Dutchess,*
36029,New York,Erie,
36045,New York,Jefferson,
36047,New York,Kings,
36055,New York,Monroe,
36059,New York,Nassau,
36061,New York,New York,
36063,New York,Niagara,
36071,New York,Orange,*
36073,New York,Orleans,
36075,New York,Oswego,
36079,New York,Putnam,*
36081,New York,Queens,
36085,New York,Richmond,
36087,New York,Rockland,*
36089,New York,St. Lawrence,*
36103,New York,Suffolk,
36111,New York,Ulster,*
36117,New York,Wayne,
36119,New York,Westchester,
37013,North Carolina,Beaufort,
37015,North Carolina,Bertie,
37019,North Carolina,Brunswick,
37029,North Carolina,Camden,
37031,North Carolina,Carteret,
37041,North Carolina,Chowan,
37049,North Carolina,Craven,
37053,North Carolina,Currituck,
37055,North Carolina,Dare,
37073,North Carolina,Gates,*
37091,North Carolina,Hertford,*
37095,North Carolina,Hyde,
37129,North Carolina,New Hanover,
37133,North Carolina,Onslow,
37137,North Carolina,Pamlico,
37139,North Carolina,Pasquotank,
37141,North Carolina,Pender,
37143,North Carolina,Perquimans,
37177,North Carolina,Tyrrell,
37187,North Carolina,Washington,
39007,Ohio,Ashtabula,
39035,Ohio,Cuyahoga,
39043,Ohio,Erie,
39085,Ohio,Lake,
39093,Ohio,Lorain,
39095,Ohio,Lucas,
39123,Ohio,Ottawa,
39143,Ohio,Sandusky,
39173,Ohio,Wood,*
41007,Oregon,Clatsop,
41009,Oregon,Columbia,
41011,Oregon,Coos,
41015,Oregon,Curry,
41019,Oregon,Douglas,
41039,Oregon,Lane,
41041,Oregon,Lincoln,
41051,Oregon,Multnomah,
41057,Oregon,Tillamook,
42017,Pennsylvania,Bucks,*
42045,Pennsylvania,Delaware,
42049,Pennsylvania,Erie,
42101,Pennsylvania,Philadelphia,
44001,Rhode Island,Bristol,
44003,Rhode Island,Kent,
44005,Rhode Island,Newport,
44007,Rhode Island,Providence,
44009,Rhode Island,Washington,
45013,South Carolina,Beaufort,
45015,South Carolina,Berkeley,*
45019,South Carolina,Charleston,
45029,South Carolina,Colleton,
45035,South Carolina,Dorchester,*
45043,South Carolina,Georgetown,
45051,South Carolina,Horry,
45053,South Carolina,Jasper,
48007,Texas,Aransas,
48039,Texas,Brazoria,
48057,Texas,Calhoun,
48061,Texas,Cameron,
48071,Texas,Chambers,
48167,Texas,Galveston,
48201,Texas,Harris,
48239,Texas,Jackson,
48245,Texas,Jefferson,
48261,Texas,Kenedy,
48273,Texas,Kleberg,
48321,Texas,Matagorda,
48355,Texas,Nueces,
48361,Texas,Orange,*
48391,Texas,Refugio,
48409,Texas,San Patricio,
48469,Texas,Victoria,
48489,Texas,Willacy,
51001,Virginia,Accomack,
51013,Virginia,Arlington,*
51033,Virginia,Caroline,*
51036,Virginia,Charles City,*
51041,Virginia,Chesterfield,*
51057,Virginia,Essex,
51059,Virginia,Fairfax,*
51073,Virginia,Gloucester,
51085,Virginia,Hanover,*
51087,Virginia,Henrico,*
51093,Virginia,Isle of Wight,
51095,Virginia,James City,
51097,Virginia,King and Queen,*
51099,Virginia,King George,
51101,Virginia,King William,*
51103,Virginia,Lancaster,
51115,Virginia,Mathews,
51119,Virginia,Middlesex,
51127,Virginia,New Kent,*
51131,Virginia,Northampton,
51133,Virginia,Northumberland,
51149,Virginia,Prince George,*
51153,Virginia,Prince William,*
51159,Virginia,Richmond,
51177,Virginia,Spotsylvania,*
51179,Virginia,Stafford,*
51181,Virginia,Surry,
51193,Virginia,Westmoreland,
51199,Virginia,York,
51510,Virginia,Alexandria (city),*
51550,Virginia,Chesapeake (city),*
51650,Virginia,Hampton (city),
51670,Virginia,Hopewell (city),*
51700,Virginia,Newport News (city),
51710,Virginia,Norfolk (city),
51735,Virginia,Poquoson (city),
51740,Virginia,Portsmouth (city),
51760,Virginia,Richmond (city),*
51800,Virginia,Suffolk,
51810,Virginia,Virginia Beach,
51830,Virginia,Williamsburg,*
53009,Washington,Clallam,
53027,Washington,Grays Harbor,
53029,Washington,Island,
53031,Washington,Jefferson,
53033,Washington,King,
53035,Washington,Kitsap,
53045,Washington,Mason,
53049,Washington,Pacific,
53053,Washington,Pierce,
53055,Washington,San Juan,
53057,Washington,Skagit,
53061,Washington,Snohomish,
53067,Washington,Thurston,*
53069,Washington,Wahkiakum,
53073,Washington,Whatcom,
55003,Wisconsin,Ashland,
55007,Wisconsin,Bayfield,
55009,Wisconsin,Brown,
55029,Wisconsin,Door,
55031,Wisconsin,Douglas,
55051,Wisconsin,Iron,
55059,Wisconsin,Kenosha,
55061,Wisconsin,Kewaunee,
55071,Wisconsin,Manitowoc,
55075,Wisconsin,Marinette,
55079,Wisconsin,Milwaukee,
55083,Wisconsin,Oconto,
55089,Wisconsin,Ozaukee,
55101,Wisconsin,Racine,
55117,Wisconsin,Sheboygan,
