location,target_count,target_sum,geodata,address,point
"ab, canada",1,0,"Alberta, Canada","Alberta, Canada","(55.001251, -115.002136, 0.0)"
aberdeenshire,1,0,"Aberdeenshire, Scotland, United Kingdom","Aberdeenshire, Scotland, United Kingdom","(57.166667, -2.666667, 0.0)"
"absecon, nj",1,1,"Absecon, Atlantic County, New Jersey, 08201, United States of America","Absecon, Atlantic County, New Jersey, 08201, United States of America","(39.4284503, -74.4957076, 0.0)"
abuja,1,0,"Abuja, Municipal Area Council, Federal Capital Territory, 900001, Nigeria","Abuja, Municipal Area Council, Federal Capital Territory, 900001, Nigeria","(9.0643305, 7.4892974, 0.0)"
"abuja, nigeria",1,0,"Abuja, Municipal Area Council, Federal Capital Territory, 900001, Nigeria","Abuja, Municipal Area Council, Federal Capital Territory, 900001, Nigeria","(9.0643305, 7.4892974, 0.0)"
"abuja,nigeria",1,1,"Abuja, Municipal Area Council, Federal Capital Territory, 900001, Nigeria","Abuja, Municipal Area Council, Federal Capital Territory, 900001, Nigeria","(9.0643305, 7.4892974, 0.0)"
accra ghana,1,1,"Accra, Accra Metropolitan, Greater Accra Region, 000000, Ghana","Accra, Accra Metropolitan, Greater Accra Region, 000000, Ghana","(5.5600141, -0.2057437, 0.0)"
"accra,ghana",2,0,"Accra, Accra Metropolitan, Greater Accra Region, 000000, Ghana","Accra, Accra Metropolitan, Greater Accra Region, 000000, Ghana","(5.5600141, -0.2057437, 0.0)"
across the atlantic,1,0,,,
ad majorem dei glorium,1,1,,,
adelaide,1,1,"Adelaide, Adelaide City Council, South Australia, 5000, Australia","Adelaide, Adelaide City Council, South Australia, 5000, Australia","(-34.9281805, 138.5999312, 0.0)"
"adelaide, australia",3,0,"Adelaide, Adelaide City Council, South Australia, 5000, Australia","Adelaide, Adelaide City Council, South Australia, 5000, Australia","(-34.9281805, 138.5999312, 0.0)"
"adelaide, south australia",2,0,"Adelaide, Adelaide City Council, South Australia, 5000, Australia","Adelaide, Adelaide City Council, South Australia, 5000, Australia","(-34.9281805, 138.5999312, 0.0)"
adventuring in narnia,1,0,,,
aep,1,0,"Andhra Pradesh, India","Andhra Pradesh, India","(15.9240905, 80.1863809, 0.0)"
afghanistan,1,1,افغانستان,افغانستان,"(33.7680065, 66.2385139, 0.0)"
"afghanistan, usa",1,1,"Embassy of Afghanistan, Wyoming Avenue Northwest, Kalorama Heights, Washington, District of Columbia, 20008, United States of America","Embassy of Afghanistan, Wyoming Avenue Northwest, Kalorama Heights, Washington, District of Columbia, 20008, United States of America","(38.91721095, -77.05221767096326, 0.0)"
africa,5,5,Africa,Africa,"(11.5024338, 17.7578122, 0.0)"
aggressive cannoli eater ,1,0,,,
akron ohio usa,1,1,"Akron, Summit County, Ohio, United States of America","Akron, Summit County, Ohio, United States of America","(41.083064, -81.518485, 0.0)"
akure city in ondo state ,1,1,"Akure, Akure South, Ondo, Nigeria","Akure, Akure South, Ondo, Nigeria","(7.2525595, 5.1932647, 0.0)"
alabama,2,0,"Alabama, United States of America","Alabama, United States of America","(33.2588817, -86.8295337, 0.0)"
"alabama, usa",1,0,"Alabama, United States of America","Alabama, United States of America","(33.2588817, -86.8295337, 0.0)"
"alameda and pleasanton, ca",1,0,"Pleasanton, Alameda County, California, United States of America","Pleasanton, Alameda County, California, United States of America","(37.6624312, -121.8746789, 0.0)"
"alameda, ca",1,1,"Alameda, Census Division No. 1, Saskatchewan, S0C 0A0, Canada","Alameda, Census Division No. 1, Saskatchewan, S0C 0A0, Canada","(49.266667, -102.283333, 0.0)"
alaska,2,0,"Alaska, United States of America","Alaska, United States of America","(64.4459613, -149.680909, 0.0)"
"alaska, usa",1,1,"Alaska, United States of America","Alaska, United States of America","(64.4459613, -149.680909, 0.0)"
alberta ,1,1,"Alberta, Canada","Alberta, Canada","(55.001251, -115.002136, 0.0)"
alberta pack,1,0,,,
"alberta, canada",1,1,"Alberta, Canada","Alberta, Canada","(55.001251, -115.002136, 0.0)"
"alberta, va",1,0,"Alberta, Brunswick County, Virginia, United States of America","Alberta, Brunswick County, Virginia, United States of America","(36.8657034, -77.8863857, 0.0)"
albuquerque,1,1,"Albuquerque, Bernalillo County, New Mexico, United States of America","Albuquerque, Bernalillo County, New Mexico, United States of America","(35.0841034, -106.6509851, 0.0)"
albuquerque new mexico,1,0,"Albuquerque, Bernalillo County, New Mexico, United States of America","Albuquerque, Bernalillo County, New Mexico, United States of America","(35.0841034, -106.6509851, 0.0)"
"alexandria, va",2,1,"Alexandria, Virginia, 22314, United States of America","Alexandria, Virginia, 22314, United States of America","(38.8051095, -77.0470229, 0.0)"
"alexandria, va, usa",1,1,"Alexandria, Virginia, United States of America","Alexandria, Virginia, United States of America","(38.8147596, -77.09024765272724, 0.0)"
"alicante, spain",1,1,"Alacant / Alicante, l'Alacantí, Alacant / Alicante, Comunitat Valenciana, España","Alacant / Alicante, l'Alacantí, Alacant / Alicante, Comunitat Valenciana, España","(38.353738, -0.4901846, 0.0)"
"alicante, valencia",1,0,"Alacant / Alicante, l'Alacantí, Alacant / Alicante, Comunitat Valenciana, España","Alacant / Alicante, l'Alacantí, Alacant / Alicante, Comunitat Valenciana, España","(38.353738, -0.4901846, 0.0)"
all around the world,2,0,"Around the World, Whistler Olympic Park, Squamish-Lillooet Regional District, British Columbia, Canada","Around the World, Whistler Olympic Park, Squamish-Lillooet Regional District, British Columbia, Canada","(50.1312446, -123.1193013, 0.0)"
all around the world baby,1,0,,,
all over the world,1,0,"All Over The World, Ziekerstraat, Stadscentrum, Nijmegen-Centrum, Nijmegen, Gelderland, Nederland, 6511 LH, Nederland","All Over The World, Ziekerstraat, Stadscentrum, Nijmegen-Centrum, Nijmegen, Gelderland, Nederland, 6511 LH, Nederland","(51.8448838, 5.8641598, 0.0)"
alliston ontario,1,0,"Alliston, New Tecumseth, Simcoe County, Central Ontario, Ontario, L9R 1G8, Canada","Alliston, New Tecumseth, Simcoe County, Central Ontario, Ontario, L9R 1G8, Canada","(44.1539369, -79.8692321, 0.0)"
"alphen aan den rijn, holland",1,0,"Alphen aan den Rijn, Zuid-Holland, Nederland","Alphen aan den Rijn, Zuid-Holland, Nederland","(52.1343369, 4.6561357, 0.0)"
"alvin, tx",1,0,"Alvin, Brazoria County, Texas, United States of America","Alvin, Brazoria County, Texas, United States of America","(29.4238472, -95.2441009, 0.0)"
always dying never resting,1,1,,,
am everywhere,1,0,"Sand Everywhere Elementary School, Canton Street, Clay-Arsenal, Smith Tower Housing, Hartford, Connecticut, 06120, United States of America","Sand Everywhere Elementary School, Canton Street, Clay-Arsenal, Smith Tower Housing, Hartford, Connecticut, 06120, United States of America","(41.7780019, -72.67376593953749, 0.0)"
am international,1,0,"International, Jugoslávských partyzánů, Hendlův dvůr, Dejvice, Praha, okres Hlavní město Praha, Hlavní město Praha, Praha, 160 00, Česká republika","International, Jugoslávských partyzánů, Hendlův dvůr, Dejvice, Praha, okres Hlavní město Praha, Hlavní město Praha, Praha, 160 00, Česká republika","(50.109345950000005, 14.393264664529315, 0.0)"
amarillo,1,1,"Amarillo, Potter County, Texas, 79105, United States of America","Amarillo, Potter County, Texas, 79105, United States of America","(35.2072185, -101.8338246, 0.0)"
"amazon seller , propagandist",1,1,,,
america,3,2,"America, Horst aan de Maas, Limburg, Nederland","America, Horst aan de Maas, Limburg, Nederland","(51.44770365, 5.966069282055592, 0.0)"
america of founding fathers,3,1,,,
americas newsroom,1,1,,,
"ames, ia",1,1,"Ames, Story County, Iowa, United States of America","Ames, Story County, Iowa, United States of America","(42.0267703, -93.6170554, 0.0)"
"ames, iowa",1,1,"Ames, Story County, Iowa, United States of America","Ames, Story County, Iowa, United States of America","(42.0267703, -93.6170554, 0.0)"
"amman, jordan",1,1,"عمان, 11181, Jordan / الأُرْدُن","عمان, 11181, Jordan / الأُرْدُن","(31.9515694, 35.9239625, 0.0)"
"amman,jordan",1,1,"عمان, 11181, Jordan / الأُرْدُن","عمان, 11181, Jordan / الأُرْدُن","(31.9515694, 35.9239625, 0.0)"
amsterdam,1,1,"Amsterdam, Noord-Holland, Nederland","Amsterdam, Noord-Holland, Nederland","(52.3727598, 4.8936041, 0.0)"
anaheim,1,1,"Anaheim, Orange County, California, United States of America","Anaheim, Orange County, California, United States of America","(33.8347516, -117.911732, 0.0)"
"anchorage, ak",3,2,"Anchorage, Alaska, United States of America","Anchorage, Alaska, United States of America","(61.2163129, -149.8948523, 0.0)"
"anderson, sc",1,1,"Anderson, Anderson County, South Carolina, United States of America","Anderson, Anderson County, South Carolina, United States of America","(34.5068601, -82.6506264, 0.0)"
"anna maria, fl",1,0,"Anna Maria, Manatee County, Florida, 34216, United States of America","Anna Maria, Manatee County, Florida, 34216, United States of America","(27.5311474, -82.7334334, 0.0)"
"annapolis, md",1,1,"Annapolis, Anne Arundel County, Maryland, United States of America","Annapolis, Anne Arundel County, Maryland, United States of America","(38.9786401, -76.492786, 0.0)"
anonymous,1,0,"Anonymous, Prince Henry Heights, Toowoomba, Queensland, 4352, Australia","Anonymous, Prince Henry Heights, Toowoomba, Queensland, 4352, Australia","(-27.5421807, 151.9830278, 0.0)"
antarctica,1,1,Antarctica,Antarctica,"(-79.4063075, 0.3149312, 0.0)"
"antioch, ca ",1,0,"Antioch, Contra Costa County, California, United States of America","Antioch, Contra Costa County, California, United States of America","(38.0049214, -121.805789, 0.0)"
"antioch, california",1,0,"Antioch, Contra Costa County, California, United States of America","Antioch, Contra Costa County, California, United States of America","(38.0049214, -121.805789, 0.0)"
antoine fisher ,1,0,"Fisher Body Plant 23, Saint Antoine Street, Milwaukee Junction, New Center, Detroit, Wayne County, Michigan, 48202, United States of America","Fisher Body Plant 23, Saint Antoine Street, Milwaukee Junction, New Center, Detroit, Wayne County, Michigan, 48202, United States of America","(42.3696209, -83.06412699750388, 0.0)"
anywhere,1,1,"Go Anywhere Slab, Lilongwe, Central Region, Malawi","Go Anywhere Slab, Lilongwe, Central Region, Malawi","(-14.1601396, 33.8624178, 0.0)"
anywhere i like,1,0,,,
anywhere safe,1,1,,,
"anzio,italy",2,2,"Anzio, Roma Capitale, 00042, Italia","Anzio, Roma Capitale, 00042, Italia","(41.4471008, 12.6285618, 0.0)"
aperture science test facility,1,0,,,
arbailo,1,0,,,
argentina,4,3,Argentina,Argentina,"(-34.9964963, -64.9672817, 0.0)"
arizona,4,1,"Arizona, United States of America","Arizona, United States of America","(34.395342, -111.7632755, 0.0)"
arizona ,2,1,"Arizona, United States of America","Arizona, United States of America","(34.395342, -111.7632755, 0.0)"
arkansas,1,1,"Arkansas, United States of America","Arkansas, United States of America","(35.2048883, -92.4479108, 0.0)"
"arkansas, jonesboro",1,1,"Jonesboro, Craighead County, Arkansas, United States of America","Jonesboro, Craighead County, Arkansas, United States of America","(35.8428646, -90.7034522, 0.0)"
"arlington, tx",3,1,"Arlington, Tarrant County, Texas, United States of America","Arlington, Tarrant County, Texas, United States of America","(32.701938999999996, -97.10562379033699, 0.0)"
"arlington, va",1,0,"Arlington, Arlington County, Virginia, United States of America","Arlington, Arlington County, Virginia, United States of America","(38.8903961, -77.0841585, 0.0)"
"arlington, va and dc",1,1,"Arlington, Arlington County, Virginia, United States of America","Arlington, Arlington County, Virginia, United States of America","(38.8903961, -77.0841585, 0.0)"
"arnhem, the netherlands",1,1,"Arnhem, Gelderland, Nederland","Arnhem, Gelderland, Nederland","(51.984257, 5.9108573, 0.0)"
aro diaspora,1,1,,,
around the world,1,1,"Around the World, Whistler Olympic Park, Squamish-Lillooet Regional District, British Columbia, Canada","Around the World, Whistler Olympic Park, Squamish-Lillooet Regional District, British Columbia, Canada","(50.1312446, -123.1193013, 0.0)"
arthas us,1,0,"Arthas di Sacripanti Franco e C. Snc, Viale Veneto, San Lorenzo in Strada, Riccione, Rimini, Emilia-Romagna, 47838, Italia","Arthas di Sacripanti Franco e C. Snc, Viale Veneto, San Lorenzo in Strada, Riccione, Rimini, Emilia-Romagna, 47838, Italia","(43.9971092, 12.6283244, 0.0)"
arundel ,1,1,"Arundel, Arun, West Sussex, South East, England, United Kingdom","Arundel, Arun, West Sussex, South East, England, United Kingdom","(50.85453835, -0.5648162995576137, 0.0)"
"arvada, co",1,1,"Arvada, Jefferson County, Colorado, United States of America","Arvada, Jefferson County, Colorado, United States of America","(39.8211225, -105.22074299044587, 0.0)"
asgard,1,1,"Åsgård, Nord-Fron, Innlandet, Norge","Åsgård, Nord-Fron, Innlandet, Norge","(61.5805499, 9.6619499, 0.0)"
"ashburn, va",2,0,"Ashburn, Loudoun County, Virginia, United States of America","Ashburn, Loudoun County, Virginia, United States of America","(39.0437192, -77.4874899, 0.0)"
"asheboro, nc",1,0,"Asheboro, Randolph County, North Carolina, United States of America","Asheboro, Randolph County, North Carolina, United States of America","(35.7079146, -79.8136446, 0.0)"
"asheville, nc",5,3,"Asheville, Buncombe County, North Carolina, United States of America","Asheville, Buncombe County, North Carolina, United States of America","(35.6009498, -82.5540161, 0.0)"
"ashford, kent, united kingdom",1,1,"Ashford, Kent, South East, England, United Kingdom","Ashford, Kent, South East, England, United Kingdom","(51.148555, 0.8722566, 0.0)"
"ashland, oregon",1,1,"Ashland, Jackson County, Oregon, United States of America","Ashland, Jackson County, Oregon, United States of America","(42.1972487, -122.7153995, 0.0)"
asia,3,2,Asia,Asia,"(51.2086975, 89.2343748, 0.0)"
asia european continent korea ,1,0,,,
asia pacific   ,1,1,"Asia Pacific, North Pleasantburg Drive, Arcadia Hills, Greenville, Greenville County, South Carolina, 29607, United States of America","Asia Pacific, North Pleasantburg Drive, Arcadia Hills, Greenville, Greenville County, South Carolina, 29607, United States of America","(34.8528895, -82.3573713, 0.0)"
"astley, manchester",1,0,"Astley, Greater Manchester, North West England, England, M29 7HT, United Kingdom","Astley, Greater Manchester, North West England, England, M29 7HT, United Kingdom","(53.5009963, -2.4496899, 0.0)"
at da laundry mat wit nivea ,1,1,,,
at my home,1,1,"Building 17, الأمير منصور بن عبدالعزيز, Al Olaya District حي العليا, الرياض, منطقة الرياض, 11422, Saudi Arabia / السعودية","Building 17, الأمير منصور بن عبدالعزيز, Al Olaya District حي العليا, الرياض, منطقة الرياض, 11422, Saudi Arabia / السعودية","(24.6764233, 46.6992761, 0.0)"
at work,1,0,"at work, Schirmerstraße, Bindermichl-Keferfeld, Leonding, Linz, Oberösterreich, 4020, Österreich","at work, Schirmerstraße, Bindermichl-Keferfeld, Leonding, Linz, Oberösterreich, 4020, Österreich","(48.254344, 14.2719921, 0.0)"
at your back,1,0,"At Your Mother-in-Law, Brighton 3rd Street, Brighton Beach, New York, Brooklyn, Kings County, New York, 11235, United States of America","At Your Mother-in-Law, Brighton 3rd Street, Brighton Beach, New York, Brooklyn, Kings County, New York, 11235, United States of America","(40.5774376, -73.9642057, 0.0)"
"athens, greece",1,1,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, 10667, Ελλάδα","Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, 10667, Ελλάδα","(37.9839412, 23.7283052, 0.0)"
"athens,greece",1,1,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, 10667, Ελλάδα","Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, 10667, Ελλάδα","(37.9839412, 23.7283052, 0.0)"
"atl, ga",1,0,"Hartsfield–Jackson Atlanta International Airport, North Terminal Parkway, Elmwood, College Park, Clayton County, Georgia, 30337, United States of America","Hartsfield–Jackson Atlanta International Airport, North Terminal Parkway, Elmwood, College Park, Clayton County, Georgia, 30337, United States of America","(33.63779875, -84.42927118585675, 0.0)"
atlanta,7,2,"Atlanta, Fulton County, Georgia, United States of America","Atlanta, Fulton County, Georgia, United States of America","(33.7490987, -84.3901849, 0.0)"
"atlanta , georgia ",1,0,"Atlanta, Fulton County, Georgia, United States of America","Atlanta, Fulton County, Georgia, United States of America","(33.7490987, -84.3901849, 0.0)"
atlanta georgia,1,1,"Atlanta, Fulton County, Georgia, United States of America","Atlanta, Fulton County, Georgia, United States of America","(33.7490987, -84.3901849, 0.0)"
atlanta georgia ,4,1,"Atlanta, Fulton County, Georgia, United States of America","Atlanta, Fulton County, Georgia, United States of America","(33.7490987, -84.3901849, 0.0)"
"atlanta, ga",11,5,"Atlanta, Fulton County, Georgia, United States of America","Atlanta, Fulton County, Georgia, United States of America","(33.7490987, -84.3901849, 0.0)"
"atlanta, georgia",1,0,"Atlanta, Fulton County, Georgia, United States of America","Atlanta, Fulton County, Georgia, United States of America","(33.7490987, -84.3901849, 0.0)"
"atlanta, georgia usa",1,0,"Atlanta, Fulton County, Georgia, United States of America","Atlanta, Fulton County, Georgia, United States of America","(33.7490987, -84.3901849, 0.0)"
"atlanta,ga",1,0,"Atlanta, Fulton County, Georgia, United States of America","Atlanta, Fulton County, Georgia, United States of America","(33.7490987, -84.3901849, 0.0)"
"atlantic highlands, nj",1,1,"Atlantic Highlands, Monmouth County, New Jersey, 07716, United States of America","Atlantic Highlands, Monmouth County, New Jersey, 07716, United States of America","(40.4078865, -74.034306, 0.0)"
"atlantic, ia",1,0,"Atlantic, Cass County, Iowa, 50022, United States of America","Atlantic, Cass County, Iowa, 50022, United States of America","(41.4036007, -95.0138776, 0.0)"
atmosphere,1,0,"Atmosphere, Fayette Junction, Fayetteville, Washington County, Arkansas, United States of America","Atmosphere, Fayette Junction, Fayetteville, Washington County, Arkansas, United States of America","(36.062854349999995, -94.17043276528943, 0.0)"
attock,1,0,"اٹک, ضلع اٹک, پنجاب, 43600, پاکستان","اٹک, ضلع اٹک, پنجاب, 43600, پاکستان","(33.7695323, 72.3610911, 0.0)"
atx,2,0,"Аэропорт Атбасар, M-36, Атбасар, Атбасарский район, Акмолинская область, 02004, Kazakhstan","Аэропорт Атбасар, M-36, Атбасар, Атбасарский район, Акмолинская область, 02004, Kazakhstan","(51.8517097, 68.3655586, 0.0)"
auburn ,1,0,"Auburn, Lee County, Alabama, United States of America","Auburn, Lee County, Alabama, United States of America","(32.535699, -85.48677785023041, 0.0)"
"auburn, al",1,1,"Auburn, Lee County, Alabama, United States of America","Auburn, Lee County, Alabama, United States of America","(32.535699, -85.48677785023041, 0.0)"
auckland,2,1,"Auckland, 1010, New Zealand","Auckland, 1010, New Zealand","(-36.852095, 174.7631803, 0.0)"
"auckland, new zealand",2,0,"Auckland, 1010, New Zealand","Auckland, 1010, New Zealand","(-36.852095, 174.7631803, 0.0)"
"augusta, ga",1,0,"Augusta, Richmond County, Georgia, United States of America","Augusta, Richmond County, Georgia, United States of America","(33.4709714, -81.9748429, 0.0)"
"aurora, il",1,0,"Aurora, Central Luzon, Philippines","Aurora, Central Luzon, Philippines","(16.0, 121.75, 0.0)"
"aurora, ontario ",1,0,"Aurora, York Region, Golden Horseshoe, Ontario, Canada","Aurora, York Region, Golden Horseshoe, Ontario, Canada","(43.99973, -79.467545, 0.0)"
aus,1,0,"Austin-Bergstrom International Airport, Meldrum Road, Austin, Travis County, Texas, 78617, United States of America","Austin-Bergstrom International Airport, Meldrum Road, Austin, Travis County, Texas, 78617, United States of America","(30.19348925, -97.66500963529677, 0.0)"
austin,1,1,"Austin, Travis County, Texas, United States of America","Austin, Travis County, Texas, United States of America","(30.2711286, -97.7436995, 0.0)"
austin tx,2,1,"Austin, Travis County, Texas, United States of America","Austin, Travis County, Texas, United States of America","(30.2711286, -97.7436995, 0.0)"
"austin, texas",4,2,"Austin, Travis County, Texas, United States of America","Austin, Travis County, Texas, United States of America","(30.2711286, -97.7436995, 0.0)"
"austin, tx",7,3,"Austin, Travis County, Texas, United States of America","Austin, Travis County, Texas, United States of America","(30.2711286, -97.7436995, 0.0)"
australia,18,9,Australia,Australia,"(-24.7761086, 134.755, 0.0)"
australia ,1,1,Australia,Australia,"(-24.7761086, 134.755, 0.0)"
australian capital territory,1,1,"Australian Capital Territory, Australia","Australian Capital Territory, Australia","(-35.4883502, 149.0026942, 0.0)"
ava,1,0,"阿房国, 徳島県, 日本 (Japan)","阿房国, 徳島県, 日本 (Japan)","(33.8486015, 134.34057028586847, 0.0)"
"aveiro, portugal",1,0,"Aveiro, Baixo Vouga, Centro, 3810-156, Portugal","Aveiro, Baixo Vouga, Centro, 3810-156, Portugal","(40.640496, -8.6537841, 0.0)"
avon,1,0,"Avon, Fontainebleau, Seine-et-Marne, Île-de-France, France métropolitaine, 77210, France","Avon, Fontainebleau, Seine-et-Marne, Île-de-France, France métropolitaine, 77210, France","(48.4048867, 2.7207225, 0.0)"
"avon, oh",1,1,"Avon, Lorain County, Ohio, United States of America","Avon, Lorain County, Ohio, United States of America","(41.4516512, -82.0350598, 0.0)"
ayr,1,0,"Ayr, South Ayrshire, Scotland, KA7 1NE, United Kingdom","Ayr, South Ayrshire, Scotland, KA7 1NE, United Kingdom","(55.4628044, -4.6302502, 0.0)"
az,2,1,Azərbaycan,Azərbaycan,"(40.3936294, 47.7872508, 0.0)"
azeroth,1,1,,,
aztec nm,1,0,"Aztec, San Juan County, New Mexico, 87410, United States of America","Aztec, San Juan County, New Mexico, 87410, United States of America","(36.8220629, -107.9928992, 0.0)"
back east in pa,1,0,,,
bacon,1,0,"Bacon County, Georgia, 31510, United States of America","Bacon County, Georgia, 31510, United States of America","(31.5555512, -82.4442559, 0.0)"
bagalkote karnataka ,1,0,"Bagalkote district, Karnataka, India","Bagalkote district, Karnataka, India","(16.28998085, 75.58255865030114, 0.0)"
bajaur,1,1,"باجوړ, خیبر پښتونخوا, پاکستان","باجوړ, خیبر پښتونخوا, پاکستان","(34.7763887, 71.5144196, 0.0)"
baker city oregon,1,0,"Baker City, Baker County, Oregon, 97814, United States of America","Baker City, Baker County, Oregon, 97814, United States of America","(44.7748748, -117.8343848, 0.0)"
"bakersfield, ca",1,0,"Bakersfield, Kern County, California, United States of America","Bakersfield, Kern County, California, United States of America","(35.3738712, -119.0194639, 0.0)"
"bakersfield, california",2,2,"Bakersfield, Kern County, California, United States of America","Bakersfield, Kern County, California, United States of America","(35.3738712, -119.0194639, 0.0)"
baltimore,2,0,"Baltimore, Maryland, 21203, United States of America","Baltimore, Maryland, 21203, United States of America","(39.2908816, -76.610759, 0.0)"
"baltimore, md",3,1,"Baltimore, Maryland, 21203, United States of America","Baltimore, Maryland, 21203, United States of America","(39.2908816, -76.610759, 0.0)"
balvanera,1,0,"Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, Argentina","Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, Argentina","(-34.6092155, -58.4031396, 0.0)"
banbridge,1,1,"Banbridge, County Down, Northern Ireland, BT32 3AD, United Kingdom","Banbridge, County Down, Northern Ireland, BT32 3AD, United Kingdom","(54.3514168, -6.2714623, 0.0)"
"bandar lampung, indonesia",1,1,"Bandar Lampung, Lampung, Indonesia","Bandar Lampung, Lampung, Indonesia","(-5.4460713, 105.2643742, 0.0)"
bandung,2,2,"Bandung, Jawa Barat, 40252, Indonesia","Bandung, Jawa Barat, 40252, Indonesia","(-6.9344694, 107.6049539, 0.0)"
bangalore,1,1,"Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India","Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India","(12.9791198, 77.5912997, 0.0)"
"bangalore city, india",1,1,"Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India","Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India","(12.9791198, 77.5912997, 0.0)"
"bangalore, india",3,1,,,
bangkok,1,1,"กรุงเทพมหานคร, เขตพระนคร, 10200, ประเทศไทย","กรุงเทพมหานคร, เขตพระนคร, 10200, ประเทศไทย","(13.7542529, 100.493087, 0.0)"
bangkok thailand,1,0,"กรุงเทพมหานคร, เขตพระนคร, 10200, ประเทศไทย","กรุงเทพมหานคร, เขตพระนคร, 10200, ประเทศไทย","(13.7542529, 100.493087, 0.0)"
barbados,4,1,Barbados,Barbados,"(13.1500331, -59.5250305, 0.0)"
